Frame;X-Coord;Y-Coord
13152;166;282
13153;158;281
13154;150;280
13155;142;279
13156;135;278
13157;128;277
13158;121;276
13159;114;275
13160;109;275
13161;103;274
13162;97;273
13163;93;272
13164;88;271
13165;84;271
13166;79;270
13167;76;269
13168;72;269
13169;69;268
13170;67;267
13171;65;267
13172;63;267
13173;62;267
13174;61;267
13175;60;267
13176;60;267
13177;60;267
13178;62;268
13179;63;269
13180;65;269
13181;67;269
13182;70;271
13183;72;270
13184;76;272
13185;80;273
13186;84;274
13187;88;274
13188;93;276
13189;97;277
13190;103;278
13191;108;279
13192;115;280
13193;121;281
13194;128;282
13195;135;283
13196;143;284
13197;151;285
13198;159;287
13199;167;287
13200;175;289
13201;184;290
13202;193;291
13203;203;292
13204;212;292
13205;222;293
13206;231;294
13207;240;295
13208;251;295
13209;261;296
13210;271;296
13211;280;297
13212;292;296
13213;301;297
13214;312;296
13215;321;297
13216;332;297
13217;342;296
13218;352;296
13219;362;296
13220;372;295
13221;382;295
13222;391;294
13223;401;293
13224;410;292
13225;419;292
13226;428;290
13227;437;290
13228;444;289
13229;453;288
13230;460;287
13231;468;286
13232;475;285
13233;482;284
13234;488;283
13235;495;282
13236;501;281
13237;507;279
13238;511;279
13239;517;278
13240;522;277
13241;526;276
13242;530;275
13243;533;274
13244;536;274
13245;538;273
13246;540;273
13247;542;272
13248;544;271
13249;544;271
13250;544;272
13251;544;272
13252;544;271
13253;543;271
13254;543;271
13255;541;271
13256;538;271
13257;536;272
13258;533;272
13259;530;273
13260;527;273
13261;522;274
13262;518;275
13263;512;276
13264;507;277
13265;502;277
13266;496;278
13267;490;279
13268;483;280
13269;476;281
13270;469;282
13271;461;283
13272;454;283
13273;445;285
13274;437;285
13275;428;286
13276;420;286
13277;411;288
13278;402;288
13279;393;289
13280;383;289
13281;374;290
13282;363;290
13283;354;291
13284;343;291
13285;334;291
13286;324;290
13287;313;292
13288;304;291
13289;294;291
13290;283;291
13291;273;291
13292;263;291
13293;253;290
13294;244;289
13295;233;289
13296;224;288
13297;214;288
13298;205;287
13299;196;286
13300;187;285
13301;178;284
13302;170;283
13303;162;282
13304;154;281
13305;145;280
13306;137;279
13307;131;278
13308;124;277
13309;117;277
13310;111;276
13311;104;275
13312;99;274
13313;94;273
13314;89;272
13315;85;272
13316;81;271
13317;77;270
13318;74;270
13319;71;269
13320;68;269
13321;66;269
13322;64;269
13323;63;269
13324;62;269
13325;62;269
13326;62;269
13327;62;269
13328;62;269
13329;64;270
13330;66;270
13331;67;270
13332;70;271
13333;73;272
13334;76;272
13335;80;273
13336;84;274
13337;88;275
13338;93;276
13339;98;277
13340;104;278
13341;109;279
13342;115;280
13343;122;281
13344;129;282
13345;136;283
13346;144;285
13347;151;286
13348;159;287
13349;168;288
13350;177;289
13351;185;290
13352;193;291
13353;203;291
13354;212;293
13355;220;294
13356;230;294
13357;241;295
13358;251;295
13359;261;296
13360;270;296
13361;280;297
13362;291;296
13363;301;297
13364;310;297
13365;322;296
13366;331;297
13367;342;297
13368;351;296
13369;362;296
13370;371;295
13371;381;295
13372;391;293
13373;400;293
13374;408;292
13375;418;292
13376;427;290
13377;435;290
13378;443;289
13379;452;288
13380;461;286
13381;467;286
13382;474;285
13383;481;284
13384;488;282
13385;495;282
13386;500;280
13387;506;280
13388;511;278
13389;516;277
13390;521;277
13391;525;275
13392;529;275
13393;532;274
13394;535;273
13395;538;272
13396;540;272
13397;542;271
13398;543;271
13399;544;270
13400;545;270
13401;545;270
13402;544;270
13403;544;270
13404;543;270
13405;541;271
13406;539;270
13407;536;271
13408;533;271
13409;530;272
13410;526;273
13411;523;273
13412;518;274
13413;513;274
13414;508;275
13415;503;276
13416;497;277
13417;491;278
13418;484;279
13419;477;280
13420;470;281
13421;463;281
13422;456;282
13423;447;283
13424;439;284
13425;430;285
13426;422;285
13427;413;286
13428;404;287
13429;394;288
13430;385;288
13431;375;289
13432;366;289
13433;356;290
13434;347;289
13435;336;290
13436;326;291
13437;315;291
13438;307;290
13439;296;290
13440;286;290
13441;277;289
13442;266;289
13443;256;289
13444;247;288
13445;237;287
13446;228;286
13447;218;286
13448;208;285
13449;199;285
13450;191;284
13451;182;283
13452;174;282
13453;165;281
13454;158;280
13455;150;279
13456;141;278
13457;134;277
13458;128;276
13459;121;275
13460;115;274
13461;110;274
13462;104;273
13463;98;271
13464;93;271
13465;89;270
13466;85;270
13467;81;269
13468;78;269
13469;75;268
13470;72;267
13471;70;267
13472;68;266
13473;67;267
13474;66;267
13475;65;267
13476;65;267
13477;65;267
13478;65;267
13479;67;268
13480;68;268
13481;70;269
13482;73;269
13483;75;270
13484;79;271
13485;82;272
13486;86;273
13487;90;273
13488;95;274
13489;99;275
13490;105;276
13491;111;277
13492;116;278
13493;123;280
13494;129;281
13495;137;282
13496;144;283
13497;152;284
13498;159;285
13499;168;286
13500;177;287
13501;185;288
13502;193;290
13503;202;290
13504;212;291
13505;220;292
13506;231;293
13507;241;293
13508;251;294
13509;260;294
13510;271;294
13511;280;295
13512;291;296
13513;301;295
13514;311;295
13515;321;295
13516;332;295
13517;341;295
13518;351;294
13519;362;294
13520;372;294
13521;381;293
13522;390;293
13523;400;292
13524;409;291
13525;419;290
13526;427;289
13527;436;288
13528;443;288
13529;452;287
13530;459;286
13531;467;284
13532;475;283
13533;482;282
13534;488;281
13535;494;280
13536;500;279
13537;506;278
13538;511;277
13539;516;276
13540;521;275
13541;525;274
13542;528;273
13543;532;272
13544;535;272
13545;537;271
13546;539;271
13547;542;270
13548;543;269
13549;544;269
13550;545;269
13551;545;269
13552;544;269
13553;544;269
13554;542;268
13555;541;268
13556;539;269
13557;536;269
13558;534;270
13559;530;270
13560;527;270
13561;523;272
13562;519;272
13563;514;273
13564;509;273
13565;504;274
13566;498;275
13567;492;276
13568;485;277
13569;479;278
13570;471;279
13571;464;280
13572;457;280
13573;449;281
13574;441;282
13575;432;283
13576;425;283
13577;416;284
13578;406;285
13579;396;286
13580;387;286
13581;378;287
13582;368;287
13583;359;288
13584;349;288
13585;339;288
13586;328;289
13587;319;288
13588;309;288
13589;299;288
13590;288;289
13591;278;288
13592;269;288
13593;259;287
13594;249;287
13595;239;286
13596;229;286
13597;220;285
13598;211;284
13599;201;284
13600;192;283
13601;184;282
13602;175;281
13603;167;280
13604;159;279
13605;151;278
13606;144;277
13607;136;277
13608;130;276
13609;123;274
13610;117;274
13611;111;273
13612;105;272
13613;99;272
13614;95;271
13615;90;270
13616;86;269
13617;82;269
13618;79;268
13619;75;268
13620;73;267
13621;71;267
13622;68;267
13623;67;267
13624;66;267
13625;66;267
13626;66;267
13627;66;267
13628;66;267
13629;67;267
13630;69;269
13631;71;269
13632;73;269
13633;76;270
13634;79;271
13635;83;272
13636;87;273
13637;91;273
13638;95;274
13639;99;275
13640;104;276
13641;110;277
13642;116;278
13643;122;279
13644;129;280
13645;136;281
13646;144;282
13647;151;284
13648;159;285
13649;167;286
13650;175;287
13651;183;288
13652;192;289
13653;202;290
13654;211;291
13655;220;291
13656;230;292
13657;239;293
13658;249;293
13659;260;294
13660;269;294
13661;279;294
13662;289;295
13663;300;295
13664;310;295
13665;320;295
13666;329;295
13667;340;295
13668;350;294
13669;360;294
13670;369;294
13671;380;293
13672;389;292
13673;398;292
13674;407;291
13675;416;290
13676;425;289
13677;433;288
13678;442;287
13679;450;286
13680;457;285
13681;466;284
13682;473;283
13683;480;282
13684;486;281
13685;493;280
13686;499;279
13687;504;278
13688;510;277
13689;515;276
13690;519;275
13691;524;274
13692;528;273
13693;531;272
13694;534;272
13695;537;271
13696;539;271
13697;541;269
13698;542;269
13699;543;269
13700;544;269
13701;544;268
13702;544;268
13703;543;268
13704;542;269
13705;540;269
13706;539;269
13707;537;269
13708;534;269
13709;531;270
13710;527;270
13711;523;271
13712;519;272
13713;515;272
13714;510;273
13715;504;274
13716;499;275
13717;492;276
13718;487;276
13719;480;277
13720;473;278
13721;465;279
13722;458;280
13723;450;281
13724;441;282
13725;434;282
13726;426;283
13727;417;283
13728;408;284
13729;398;285
13730;389;286
13731;380;286
13732;371;287
13733;361;287
13734;351;287
13735;341;287
13736;331;287
13737;322;288
13738;311;288
13739;301;288
13740;292;288
13741;282;287
13742;272;287
13743;262;287
13744;252;287
13745;242;286
13746;233;286
13747;224;285
13748;214;284
13749;205;284
13750;196;283
13751;187;282
13752;178;282
13753;169;281
13754;161;280
13755;153;279
13756;146;278
13757;138;277
13758;132;276
13759;125;275
13760;119;275
13761;112;273
13762;107;273
13763;102;273
13764;97;271
13765;92;271
13766;88;270
13767;84;270
13768;80;269
13769;78;269
13770;75;268
13771;73;268
13772;70;268
13773;69;268
13774;68;268
13775;67;268
13776;67;268
13777;67;268
13778;67;268
13779;68;268
13780;70;269
13781;71;269
13782;74;270
13783;76;270
13784;79;271
13785;83;272
13786;86;273
13787;90;273
13788;95;275
13789;99;275
13790;104;276
13791;110;277
13792;116;278
13793;122;279
13794;129;281
13795;136;282
13796;143;283
13797;151;284
13798;159;285
13799;167;286
13800;175;287
13801;184;288
13802;193;289
13803;201;290
13804;210;291
13805;220;291
13806;229;292
13807;239;293
13808;249;294
13809;258;294
13810;269;295
13811;279;295
13812;288;295
13813;299;295
13814;309;295
13815;319;295
13816;329;295
13817;339;294
13818;348;294
13819;358;294
13820;369;293
13821;378;293
13822;387;292
13823;396;292
13824;405;291
13825;414;290
13826;423;289
13827;432;288
13828;440;288
13829;449;286
13830;457;286
13831;464;284
13832;471;284
13833;478;283
13834;485;281
13835;492;280
13836;497;279
13837;503;278
13838;508;277
13839;513;276
13840;518;275
13841;522;274
13842;526;273
13843;530;272
13844;532;272
13845;535;271
13846;537;271
13847;540;270
13848;541;270
13849;542;269
13850;542;269
13851;543;268
13852;543;268
13853;543;268
13854;541;269
13855;540;268
13856;538;269
13857;536;269
13858;533;270
13859;530;270
13860;527;271
13861;523;271
13862;519;272
13863;514;272
13864;509;273
13865;504;273
13866;499;274
13867;493;275
13868;487;276
13869;480;277
13870;473;278
13871;466;279
13872;459;279
13873;450;280
13874;444;280
13875;434;282
13876;426;282
13877;418;283
13878;409;284
13879;399;285
13880;390;285
13881;381;286
13882;372;287
13883;362;287
13884;353;287
13885;343;287
13886;333;288
13887;324;288
13888;314;288
13889;303;288
13890;293;287
13891;284;287
13892;273;287
13893;264;287
13894;254;287
13895;244;286
13896;234;285
13897;225;285
13898;216;284
13899;207;284
13900;198;283
13901;189;282
13902;181;282
13903;172;281
13904;164;280
13905;156;279
13906;149;278
13907;141;278
13908;134;277
13909;127;276
13910;121;275
13911;114;274
13912;109;273
13913;103;273
13914;98;272
13915;93;271
13916;89;271
13917;85;270
13918;82;270
13919;79;269
13920;76;269
13921;74;269
13922;71;268
13923;69;268
13924;68;267
13925;68;268
13926;68;268
13927;68;269
13928;68;269
13929;69;269
13930;70;270
13931;72;270
13932;74;271
13933;77;271
13934;80;272
13935;83;273
13936;86;273
13937;90;274
13938;95;275
13939;99;276
13940;105;277
13941;110;278
13942;116;279
13943;122;280
13944;129;281
13945;135;282
13946;143;283
13947;150;284
13948;158;285
13949;166;286
13950;174;287
13951;182;288
13952;191;289
13953;200;290
13954;209;291
13955;218;292
13956;228;292
13957;238;293
13958;247;293
13959;258;294
13960;267;294
13961;277;295
13962;287;295
13963;296;295
13964;306;295
13965;317;296
13966;327;295
13967;337;295
13968;346;295
13969;356;294
13970;366;294
13971;376;294
13972;385;293
13973;394;292
13974;403;291
13975;412;291
13976;421;290
13977;431;288
13978;439;288
13979;446;287
13980;454;286
13981;461;285
13982;469;284
13983;476;283
13984;483;282
13985;489;281
13986;495;280
13987;501;278
13988;506;278
13989;511;276
13990;516;275
13991;521;274
13992;524;273
13993;528;273
13994;531;272
13995;533;271
13996;536;271
13997;538;270
13998;539;269
13999;540;269
14000;541;268
